Attribute,Requirements (Functional / Non-functional / Business),Component,Class,Functions,Start Date of Code,End Date of Code,Update Date,Team Member(s) Designing / Updating Code,Team Member(s) Testing Code,Complete / Ongoing / Abandoned
BRANCH-NP,net-protocol branch: Reliable UDP network stack for model loading and result transfer,Communication Interface / RUDP,rudp.h / rudp.c,RUDP_Init; RUDP_Shutdown; RUDP_Send; RUDP_SendLarge; RUDP_Receive; RUDP_Poll; RUDP_OpenSession; RUDP_CloseSession,03/01/2026,03/01/2026,03/18/2026,Aashma Yadav,Aashma Yadav,Complete
BRANCH-BKA,build/kernel_api branch: HAL + bump allocator foundation (16 commits),HAL / Kernel,arch.h / kmem.h / gic.h / timer.h,arch_enable_irq; arch_irq_save; KMEM_Init; KMEM_Alloc; HAL_GIC_Init; HAL_Timer_Init,02/20/2026,03/17/2026,03/17/2026,Piyush2005-code,Piyush2005-code,Complete
BRANCH-KA,Kernel_API branch: full cooperative kernel with arena+pool+threading (9 commits),Kernel / Scheduler / Memory,thread.c / kmem.c / context.S / vectors.S,THREAD_Create; THREAD_Yield; THREAD_Sleep; THREAD_Exit; SCHED_Init; SCHED_Start; SCHED_TimerTick; KMEM_ArenaCreate; KMEM_PoolCreate; cpu_context_switch,02/20/2026,03/18/2026,03/18/2026,Piyush2005-code; Harshit saini,Piyush2005-code,Complete
BRANCH-FO,feat/onnx branch: ONNX graph runtime (loader + validator + scheduler + dispatch),Graph Processing / Execution Engine,onnx_loader.c / onnx_graph.c / onnx_runtime.c,ONNX_LoadProtobuf; ONNX_LoadEmbedded; ONNX_Graph_Validate; ONNX_Graph_BuildDependencies; ONNX_Graph_GenerateSchedule; ONNX_Runtime_Inference; ONNX_Runtime_GetStats; ONNX_Runtime_PrintProfile,02/20/2026,03/02/2026,03/02/2026,Harshit saini,Harshit saini,Ongoing
BRANCH-FOP,feat/operators branch: 7 standalone NEON operator implementations with registry,Execution Engine / Operators,operator.h / operator_registry.c / add.c / matmul.c / relu.c / conv.c / averagepool.c / softmax.c / gemm.c,operator_add; operator_matmul; operator_relu; operator_conv; operator_averagepool; operator_softmax; operator_gemm; find_operator,03/13/2026,03/16/2026,03/16/2026,Darpan,Darpan,Ongoing
BRANCH-SB,scheduler_benchmark branch: 7-policy cooperative scheduler + ML inference benchmarks (8 commits),Scheduling / Benchmarking,sched.c / benchmark.c / main.c,SCHED_Init; SCHED_ResetAll; SCHED_CreateTask; SCHED_SetPolicy; SCHED_Yield; SCHED_Run; SCHED_GetStats; find_next_fcfs; find_next_sjf; find_next_rr; find_next_hrrn; find_next_priority; find_next_mlq; find_next_lottery,02/20/2026,03/02/2026,03/02/2026,Harshit Saini; Darpan Baviskar,Harshit Saini; Darpan Baviskar,Complete
FR-001,ARM64 processor core initialization (EL3→EL2→EL1 transition),HAL / Bootloader,boot.S,_start; _Lprimary_core; _Lfrom_el3; _Lfrom_el2; _Lat_el1; _Lbss_loop,02/20/2026,02/20/2026,,Piyush2005-code,,Complete
FR-002,MMU configuration with 4KB granularity identity-mapped page tables,HAL / MMU,mmu.c / mmu.h,HAL_MMU_Init; mmu_build_page_tables; write_mair_el1; write_tcr_el1; write_ttbr0_el1; HAL_MMU_InvalidateTLB; HAL_MMU_CleanInvalidateDCache,02/20/2026,02/20/2026,,Piyush2005-code,,Complete
FR-003,Data and instruction cache enable with write-back policy,HAL / MMU,mmu.c,"HAL_MMU_Init (SCTLR bits C, I); HAL_MMU_CleanInvalidateDCache",02/20/2026,02/20/2026,,Piyush2005-code,,Complete
FR-004,Hardware interrupt handling with configurable priorities — full IRQ path,HAL / Vectors / GIC,vectors.S / gic.c / main.c,_irq_handler_full; _vector_table; HAL_GIC_Init; HAL_GIC_EnableIRQ; HAL_GIC_Acknowledge; HAL_GIC_EndOfInterrupt; HAL_IRQ_Handler,02/26/2026,03/10/2026,03/10/2026,Piyush2005-code,,Complete
FR-005,Timer services with microsecond resolution (ARM Generic Timer @ 62.5 MHz),HAL / Timer,timer.c / timer.h,HAL_Timer_Init; HAL_Timer_Enable; HAL_Timer_Disable; HAL_Timer_GetTicks; HAL_Timer_GetElapsedUs; HAL_Timer_DelayUs; HAL_Timer_HandleIRQ; HAL_Timer_SetCallback; HAL_Timer_GetSystemTicks,02/27/2026,02/27/2026,03/10/2026,Piyush2005-code,,Complete
FR-006,"ONNX computation graph ingestion (binary protobuf v1.8+, embedded model, custom binary)",Graph Processing / ONNX Loader,onnx_loader.c / onnx_loader.h,ONNX_LoadProtobuf; ONNX_LoadEmbedded; ONNX_LoadCustomBinary; ONNX_ExportCustomBinary; ONNX_PrintModelInfo,02/27/2026,03/02/2026,03/02/2026,Harshit saini,,Complete
FR-007,Graph validation for integrity and operator compatibility,Graph Processing / Graph Manager,onnx_graph.c / onnx_graph.h,ONNX_Graph_Validate; ONNX_Graph_Init; ONNX_Graph_Cleanup,02/27/2026,03/02/2026,,Harshit saini,,Complete
